Dataset,MR1,MR2,objfailureRateMR1,objfailureRateMR2,objfailureRateMR1_MR2_combined,objfailureRateMR1_2_composite,classfailureRateMR1,classfailureRateMR2,classfailureRateMR1_MR2_combined,classfailureRateMR1_2_composite,objClassDetectFailureRateMR1,objClassDetectFailureRateMR2,objClassDetectFailureRateMR1_MR2,objClassDetectFailureRateMR12,objDetectCompositeMRUniqueFaults,objClassCompositeMRUniqueFaults,compositeMRUniqueFaults,timeMR1,timeMR2,timeMR12,timeMR12_composite,Avg. MRx U MRy Improvement for object Detection,Avg.effectiveness of composite MR against composable MRs (Detection),Avg. MRx U MRy Improvement for object classification,Avg.effectiveness of composite MR against composable MRs (classification),Avg. MRx U MRy Improvement for object ,Avg. effectiveness of composite MR against composable MRs
,rotatePlus5deg,fisheye,0.321052632,0.418947368,0.493684211,0.44,0.252631579,0.366315789,0.409473684,0.413684211,0.216842105,0.329473684,0.368421053,0.362105263,0.06,0.063157895,0.061052632,1455.861376,4824.711446,6280.572822,5564.13226,1,1,0,1,1,1
,shearPlus20deg,fisheye,0.353684211,0.418947368,0.505263158,0.435789474,0.261052632,0.366315789,0.417894737,0.406315789,0.233684211,0.329473684,0.382105263,0.357894737,0.053684211,0.052631579,0.054736842,1526.06291,4910.741734,6436.804644,5362.26831,1,1,1,1,1,1
,flipLeftRight,contrastUp,0.295789474,0.452631579,0.530526316,0.474736842,0.173684211,0.443157895,0.458947368,0.455789474,0.148421053,0.401052632,0.422105263,0.413684211,0.055789474,0.049473684,0.055789474,1429.353675,1414.267889,2843.621563,1433.432368,1,1,1,1,1,1
,flipUpDown,contrastUp,0.7,0.452631579,0.746315789,0.802105263,0.746315789,0.443157895,0.772631579,0.836842105,0.670526316,0.401052632,0.706315789,0.783157895,0.104210526,0.086315789,0.110526316,1435.901765,1442.424258,2878.326023,1443.18914,0,1,0,1,0,1
,rotatePlus5deg,contrastUp,0.321052632,0.452631579,0.54,0.509473684,0.252631579,0.443157895,0.484210526,0.511578947,0.216842105,0.401052632,0.443157895,0.466315789,0.065263158,0.066315789,0.073684211,1428.769706,1432.609987,2861.379693,1446.495519,1,1,0,1,0,1
,shearPlus20deg,contrastUp,0.353684211,0.452631579,0.552631579,0.528421053,0.261052632,0.443157895,0.492631579,0.517894737,0.233684211,0.401052632,0.453684211,0.472631579,0.061052632,0.062105263,0.068421053,1508.775771,1435.26192,2944.037691,1519.031022,1,1,0,1,0,1
,flipLeftRight,contrastDown,0.295789474,0.303157895,0.433684211,0.331578947,0.173684211,0.262105263,0.321052632,0.28,0.148421053,0.217894737,0.276842105,0.234736842,0.054736842,0.042105263,0.044210526,1458.512144,1443.617387,2902.129531,1445.891912,1,1,1,1,1,1
,flipUpDown,contrastDown,0.7,0.303157895,0.736842105,0.747368421,0.746315789,0.262105263,0.762105263,0.8,0.670526316,0.217894737,0.688421053,0.731578947,0.068421053,0.065263158,0.075789474,1437.821573,1465.980323,2903.801896,1458.163029,0,1,0,1,0,1
,rotatePlus5deg,contrastDown,0.321052632,0.303157895,0.447368421,0.412631579,0.252631579,0.262105263,0.355789474,0.351578947,0.216842105,0.217894737,0.314736842,0.321052632,0.058947368,0.049473684,0.058947368,1444.246081,1425.280533,2869.526613,1425.176785,1,1,1,1,0,1
,shearPlus20deg,contrastDown,0.353684211,0.303157895,0.466315789,0.414736842,0.261052632,0.262105263,0.361052632,0.364210526,0.233684211,0.217894737,0.324210526,0.325263158,0.049473684,0.054736842,0.055789474,1492.443501,1417.654524,2910.098025,1499.109333,1,1,0,1,0,1
