Dataset,MR1,MR2,objfailureRateMR1,objfailureRateMR2,objfailureRateMR1_MR2_combined,objfailureRateMR1_2_composite,classfailureRateMR1,classfailureRateMR2,classfailureRateMR1_MR2_combined,classfailureRateMR1_2_composite,objClassDetectFailureRateMR1,objClassDetectFailureRateMR2,objClassDetectFailureRateMR1_MR2,objClassDetectFailureRateMR12,objDetectCompositeMRUniqueFaults,objClassCompositeMRUniqueFaults,compositeMRUniqueFaults,timeMR1,timeMR2,timeMR12,timeMR12_composite,Avg. MRx U MRy Improvement for object Detection,Avg. MRx U MRy effectiveness of composite MR against composable MRs (Detection),Avg. MRx U MRy Improvement for object classification,Avg. MRx U MRy effectiveness of composite MR against composable MRs (classification),Avg. MRx U MRy Improvement for object ,Avg. MRx U MRy effectiveness of composite MR against composable MRs
,rotatePlus5deg,shearMinus20degrees,0.215559157,0.207455429,0.299837925,0.244732577,0.779578606,0.846029173,0.899513776,0.808752026,0.110210697,0.150729335,0.191247974,0.139384117,0.048622366,0.022690438,0.019448947,107.2028584,215.6577417,322.8606001,231.8142993,1,1,1,0,1,0
,rotatePlus5deg,shearPlus20degrees,0.215559157,0.215559157,0.316045381,0.265802269,0.779578606,0.852512156,0.901134522,0.834683955,0.110210697,0.157212318,0.186385737,0.173419773,0.048622366,0.038897893,0.025931929,104.2406296,214.1795527,318.4201823,233.1760672,1,1,1,0,1,1
,rotatePlus5deg,blurImage,0.215559157,0.222042139,0.309562399,0.241491086,0.779578606,0.897893031,0.927066451,0.881685575,0.110210697,0.186385737,0.207455429,0.184764992,0.025931929,0.012965964,0.012965964,104.3635014,109.2197517,213.5832531,110.1991364,1,1,1,0,1,0
,shearMinus20degrees,blurImage,0.207455429,0.222042139,0.285251216,0.249594814,0.846029173,0.897893031,0.944894652,0.922204214,0.150729335,0.186385737,0.222042139,0.218800648,0.024311183,0.017828201,0.019448947,215.322805,109.5686237,324.8914287,220.1104907,1,1,1,1,1,1
,shearPlus20degrees,blurImage,0.215559157,0.222042139,0.290113452,0.235008104,0.852512156,0.897893031,0.944894652,0.933549433,0.157212318,0.186385737,0.223662885,0.213938412,0.012965964,0.011345219,0.011345219,217.3141676,113.0221317,330.3362993,249.390589,1,1,1,1,1,1
,flipLeftRight,brightnessPlus20,0.19286872,0.024311183,0.199351702,0.189627229,0.808752026,0.732576985,0.85089141,0.813614263,0.111831442,0.011345219,0.113452188,0.113452188,0.008103728,0.004862237,0.004862237,102.5063017,100.796408,203.3027097,99.6537892,1,0,1,1,0,1
,flipUpDown,brightnessPlus20,0.260940032,0.024311183,0.267423015,0.259319287,0.944894652,0.732576985,0.962722853,0.94165316,0.231766613,0.011345219,0.235008104,0.230145867,0.001620746,0,0,99.7060594,99.0162595,198.7223189,102.6529977,1,0,1,0,1,0
,rotatePlus5deg,brightnessPlus20,0.215559157,0.024311183,0.22528363,0.238249595,0.779578606,0.732576985,0.854132901,0.768233387,0.110210697,0.011345219,0.115072934,0.110210697,0.027552674,0.003241491,0.004862237,101.5246907,98.7688961,200.2935868,103.9866726,0,1,1,0,1,0
,shearPlus20deg,brightnessPlus20,0.215559157,0.024311183,0.223662885,0.209076175,0.852512156,0.732576985,0.891410049,0.852512156,0.157212318,0.011345219,0.160453809,0.150729335,0.004862237,0,0,211.7655618,101.2678779,313.0334397,345.34212,1,0,1,0,1,0
,flipLeftRight,brightnessMinus20,0.19286872,0.081037277,0.217179903,0.184764992,0.808752026,0.756888169,0.862236629,0.80713128,0.111831442,0.042139384,0.131280389,0.106969206,0.011345219,0.004862237,0.006482982,97.3940778,101.2489831,198.6430609,98.9289324,1,0,1,0,1,0
