Dataset,MR1,MR2,objfailureRateMR1,objfailureRateMR2,objfailureRateMR1_MR2_combined,objfailureRateMR1_2_composite,classfailureRateMR1,classfailureRateMR2,classfailureRateMR1_MR2_combined,classfailureRateMR1_2_composite,objClassDetectFailureRateMR1,objClassDetectFailureRateMR2,objClassDetectFailureRateMR1_MR2,objClassDetectFailureRateMR12,objDetectCompositeMRUniqueFaults,objClassCompositeMRUniqueFaults,compositeMRUniqueFaults,timeMR1,timeMR2,timeMR12,timeMR12_composite,Avg. MRx U MRy Improvement for object Detection,Avg.effectiveness of composite MR against composable MRs (Detection),Avg. MRx U MRy Improvement for object classification,Avg.effectiveness of composite MR against composable MRs (classification),Avg. MRx U MRy Improvement for object ,Avg. effectiveness of composite MR against composable MRs
,fisheye,contrastDown,0.504051864,0.413290113,0.607779579,0.599675851,0.504051864,0.408427877,0.591572123,0.560777958,0.429497569,0.340356564,0.513776337,0.426256078,0.150729335,0.059967585,0.040518639,7367.717293,1409.274962,8776.992255,6046.086733,1,1,1,1,1,0
,fisheye,blurImage,0.504051864,0.3273906,0.573743922,0.56726094,0.504051864,0.299837925,0.547811994,0.593192869,0.429497569,0.238249595,0.468395462,0.513776337,0.084278768,0.084278768,0.082658023,6034.131083,1419.309089,7453.440172,6058.472951,1,1,0,1,0,1
oidfurniture,flipLeftRight,flipUpDown,0.298245614,0.832080201,0.854636591,0.814536341,0.248120301,0.889724311,0.897243108,0.894736842,0.177944862,0.812030075,0.812030075,0.802005013,0.012531328,0.010025063,0.012531328,449.3084147,446.8528551,896.1612698,423.2921339,1,0,1,1,1,0
,flipLeftRight,rotateMinus5deg,0.298245614,0.408521303,0.511278195,0.438596491,0.248120301,0.378446115,0.436090226,0.395989975,0.177944862,0.30075188,0.35839599,0.333333333,0.090225564,0.07518797,0.087719298,469.4451376,475.0736193,944.5187569,438.7109899,1,1,1,1,1,1
,flipLeftRight,rotatePlus5deg,0.298245614,0.421052632,0.50877193,0.441102757,0.248120301,0.393483709,0.436090226,0.401002506,0.177944862,0.325814536,0.363408521,0.323308271,0.107769424,0.077694236,0.082706767,413.8532346,421.5860524,835.439287,423.4638579,1,1,1,1,1,0
,flipLeftRight,shearMinus20deg,0.298245614,0.473684211,0.558897243,0.49122807,0.248120301,0.461152882,0.493734336,0.473684211,0.177944862,0.395989975,0.428571429,0.388471178,0.080200501,0.067669173,0.067669173,437.6945588,528.4719262,966.166485,529.0744795,1,1,1,1,1,0
,flipLeftRight,shearPlus20deg,0.298245614,0.483709273,0.571428571,0.471177945,0.248120301,0.486215539,0.518796992,0.461152882,0.177944862,0.393483709,0.43358396,0.378446115,0.09273183,0.052631579,0.07518797,471.6570749,544.8346628,1016.491738,593.2996347,1,0,1,0,1,0
,flipUpDown,rotateMinus5deg,0.832080201,0.408521303,0.859649123,0.844611529,0.889724311,0.378446115,0.902255639,0.902255639,0.812030075,0.30075188,0.819548872,0.832080201,0.022556391,0.01754386,0.035087719,488.8744791,480.8531693,969.7276484,483.1662835,1,1,0,1,0,1
,flipUpDown,rotatePlus5deg,0.832080201,0.421052632,0.84962406,0.834586466,0.889724311,0.393483709,0.892230576,0.902255639,0.812030075,0.325814536,0.814536341,0.824561404,0.037593985,0.027568922,0.045112782,481.2507577,486.3314437,967.5822014,469.7069795,1,1,0,1,0,1
,flipUpDown,shearMinus20deg,0.832080201,0.473684211,0.864661654,0.84962406,0.889724311,0.461152882,0.902255639,0.90726817,0.812030075,0.395989975,0.822055138,0.839598997,0.035087719,0.025062657,0.042606516,419.7164703,478.9986571,898.7151274,480.3966397,1,1,0,1,0,1
