Dataset,MR1,MR2,objfailureRateMR1,objfailureRateMR2,objfailureRateMR1_MR2_combined,objfailureRateMR1_2_composite,classfailureRateMR1,classfailureRateMR2,classfailureRateMR1_MR2_combined,classfailureRateMR1_2_composite,objClassDetectFailureRateMR1,objClassDetectFailureRateMR2,objClassDetectFailureRateMR1_MR2,objClassDetectFailureRateMR12,objDetectCompositeMRUniqueFaults,objClassCompositeMRUniqueFaults,compositeMRUniqueFaults,timeMR1,timeMR2,timeMR12,timeMR12_composite
,flipUpDown,rotateMinus5deg,0.830321285,0.674698795,0.90562249,0.815261044,0.97188755,0.464859438,0.977911647,0.951807229,0.817269076,0.31626506,0.822289157,0.793172691,0.011044177,0.00502008,0.011044177,41.0905517,42.6710478,83.7615995,42.7007756
,flipUpDown,rotatePlus5deg,0.830321285,0.635542169,0.90060241,0.833333333,0.97188755,0.451807229,0.978915663,0.951807229,0.817269076,0.305220884,0.821285141,0.8062249,0.016064257,0.008032129,0.015060241,41.2510201,42.8406871,84.0917072,42.848054
,flipUpDown,shearMinus20deg,0.830321285,0.624497992,0.883534137,0.829317269,0.97188755,0.570281124,0.978915663,0.96686747,0.817269076,0.401606426,0.826305221,0.815261044,0.012048193,0.007028112,0.011044177,41.1938328,112.3731326,153.5669654,113.2873353
,flipUpDown,shearPlus20deg,0.830321285,0.597389558,0.881526104,0.826305221,0.97188755,0.580321285,0.979919679,0.973895582,0.817269076,0.404618474,0.823293173,0.819277108,0.009036145,0.012048193,0.018072289,40.9670526,111.4397183,152.4067709,110.9869585
,rotateMinus5deg,shearMinus20degrees,0.674698795,0.624497992,0.809236948,0.691767068,0.464859438,0.570281124,0.669678715,0.65562249,0.31626506,0.401606426,0.497991968,0.496987952,0.065261044,0.098393574,0.115461847,42.8119851,111.1152167,153.9272018,127.4332403
,rotateMinus5deg,shearPlus20degrees,0.674698795,0.464859438,0.597389558,0.580321285,0.809236948,0.682730924,0.644578313,0.568273092,0.31626506,0.401606426,0.497991968,0.496987952,0.065261044,0.098393574,0.115461847,0.31626506,0.404618474,0.501004016,0.401606426
,flipLeftRight,blurImage,0.578313253,0.767068273,0.84437751,0.768072289,0.477911647,0.901606426,0.917670683,0.901606426,0.31626506,0.734939759,0.747991968,0.736947791,0.026104418,0.027108434,0.03313253,113.5220687,115.4542932,228.9763619,114.3554397
,flipUpDown,blurImage,0.830321285,0.767068273,0.860441767,0.84939759,0.97188755,0.901606426,0.991967871,0.984939759,0.817269076,0.734939759,0.838353414,0.840361446,0.011044177,0.002008032,0.009036145,108.3632251,113.77416,222.1373851,113.725998
,rotateMinus5deg,blur_image,0.674698795,0.767068273,0.87751004,0.773092369,0.464859438,0.901606426,0.914658635,0.896586345,0.31626506,0.734939759,0.748995984,0.733935743,0.018072289,0.025100402,0.036144578,111.0741985,114.0369271,225.1111256,118.5411258
,rotatePlus5deg,shearMinus20degrees,0.635542169,0.624497992,0.802208835,0.646586345,0.451807229,0.570281124,0.675702811,0.562248996,0.305220884,0.401606426,0.507028112,0.396586345,0.052208835,0.064257028,0.073293173,111.1320427,245.9229394,357.0549821,275.4478417
